j_reset_real 0 00100000 B               reset; Branch
sub_111744 4 0011178c BX              LR; Branch to/from Thumb mode
sub_111744 5 001130d8 LDR             R3, =word_2092E8; Load from Memory
sub_111794 0 00111794 STMFD           SP!, {R3-R11,LR}; Store Block to Memory
sub_111794 1 00111800 STRB            R10, [R5,#0xC4]; Store to Memory
sub_111794 2 0011184c MOV             R0, #2; Rd = Op2
sub_111794 3 00111860 MOV             R0, #0; Rd = Op2
sub_111794 4 0011187c STRB            R10, [R5,#0xC4]; Store to Memory
sub_111794 5 001118a4 BL              sub_112800; Branch with Link
sub_111794 6 001118f0 MOV             R3, #0xFF; Rd = Op2
sub_111794 7 00111908 LDR             R0, [R5,#0x8C]; Load from Memory
sub_111794 8 00111928 LDR             R0, [R6,#0xA0]; Load from Memory
sub_11195C 0 0011195c LDR             R1, =unk_209270; Load from Memory
sub_11195C 1 00111980 ADD             R2, R0, R0,LSL#1; Rd = Op1 + Op2
sub_11195C 2 00111994 ADD             R0, R0, #1; Rd = Op1 + Op2
sub_11195C 3 001119a0 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_11195C 4 001119a4 MOV             R0, R4; Rd = Op2
sub_11195C 5 001119b4 LDR             R0, =dword_205768; Load from Memory
sub_11195C 6 001119c8 MOV             R0, R4; Rd = Op2
sub_11195C 7 001119d8 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_1119E8 0 001119e8 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_1119E8 1 001119f0 CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_1119E8 2 001119f8 BL              sub_11195C; Branch with Link
sub_1119E8 3 00111a0c LDMFD           SP!, {R4,LR}; Load Block from Memory
sub_1119E8 4 00111a14 LDR             R0, [R0,#0x24]; Load from Memory
sub_1119E8 5 00111a2c CMP             R0, #0x1E0; Set cond. codes on Op1 - Op2
sub_1119E8 6 00111a34 B               loc_111A50; Branch
sub_1119E8 7 00111a38 MOV             R0, #0x200; Rd = Op2
sub_1119E8 8 00111a50 MOV             R0, #0x40; Rd = Op2
sub_1119E8 9 00111a64 LDR             R0, =unk_205708; Load from Memory
sub_1119E8 10 00111a78 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_111A88 0 00111a88 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_111A88 1 00111aa8 MOV             R0, R4; Rd = Op2
sub_111A88 2 00111ab4 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_111AE0 0 00111ae0 STMFD           SP!, {R4,R5,LR}; Store Block to Memory
sub_111AE0 1 00111b50 MOV             R0, #0x3E8; Rd = Op2
sub_111AE0 2 00111b60 LDR             R0, [R5,#0x14]; Load from Memory
sub_111AE0 3 00111b6c CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_111AE0 4 00111b74 BL              sub_10F2C0; Branch with Link
sub_111AE0 5 00111b80 ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_111AE0 6 00111b8c LDR             R0, [R5,#0x10]; Load from Memory
sub_111AE0 7 00111ba0 BL              sub_10F1EC; Branch with Link
sub_111BE8 0 00111be8 LDR             R0, =dword_1135D4; Load from Memory
sub_111BE8 1 00111c00 LDR             R0, =dword_1135D0; Load from Memory
sub_111BE8 2 00111c10 LDR             R0, =dword_1135DC; Load from Memory
sub_111BE8 3 00111c20 LDR             R0, =dword_1135D8; Load from Memory
sub_111BE8 4 00111c30 MOV             R0, R4; Rd = Op2
sub_111C48 0 00111c48 LDR             R0, =dword_1135D4; Load from Memory
sub_111C48 1 00111c60 LDR             R0, =loc_1135CC; Load from Memory
sub_111C48 2 00111c78 LDR             R0, =dword_1135DC; Load from Memory
sub_111C48 3 00111c88 LDR             R0, =dword_1135D8; Load from Memory
sub_111C48 4 00111c98 MOV             R0, R4; Rd = Op2
sub_111CB4 0 00111cb4 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_111CB4 1 00111ce4 LDR             R0, [R9,#0x10]; Load from Memory
sub_111CB4 2 00111cf8 LDR             R0, [R0,#0x1C]; Load from Memory
sub_111CB4 3 00111d08 LDR             R0, [R9,#4]; Load from Memory
sub_111CB4 4 00111d28 LDR             R0, [R9,#0x10]; Load from Memory
sub_111CB4 5 00111d3c LDR             R0, [R0,#0x1C]; Load from Memory
sub_111CB4 6 00111d48 LDR             R1, [R9,#4]; Load from Memory
sub_111CB4 7 00111d5c LDR             R1, [R1,#0x14]; Load from Memory
sub_111CB4 8 00111d98 BL              sub_1132D4; Branch with Link
sub_111CB4 9 00111dac STR             R10, [R5,#0]; Store to Memory
sub_111CB4 10 00111db0 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_111CB4 11 00111db8 LDR             R1, [R5,#0]; Load from Memory
sub_111CB4 12 00111dc4 MOV             R0, R4; Rd = Op2
sub_111DD0 0 00111dd0 LDR             R1, [R0,#4]; Load from Memory
sub_111DD0 1 00111ddc LDR             R1, =dword_20563C; Load from Memory
sub_111DD0 2 00111df8 BX              LR; Branch to/from Thumb mode
sub_111E00 0 00111e00 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_111E00 1 00111e08 B               loc_1132FC; Branch
sub_111E00 2 00111e0c LDR             R0, =dword_20563C; Load from Memory
sub_111E00 3 001130c0 LDR             R0, =0x78DB000; Load from Memory
sub_111E00 4 001132fc LDR             R0, =dword_205768; Load from Memory
sub_111E00 5 001122d8 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_111E2C 0 00111e2c STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_111E2C 1 00111e54 LDR             R0, [R7,#0x10]; Load from Memory
sub_111E2C 2 00111e68 LDR             R6, [R0,#0x1C]; Load from Memory
sub_111E2C 3 00111e88 LDR             R1, [R4,#0]; Load from Memory
sub_111E2C 4 00111e94 MOV             R0, R6; Rd = Op2
sub_111EA0 0 00111ea0 LDR             R1, =dword_20563C; Load from Memory
sub_111EB0 0 00111eb0 LDR             R1, =dword_20563C; Load from Memory
sub_111EC4 0 00111ec4 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_111EC4 1 00111ee8 STR             R2, [R0,#0x14]; Store to Memory
sub_111EC4 2 00111f10 LDR             R1, [R1,#0x14]; Load from Memory
sub_111EC4 3 00111f28 LDRB            R1, [R0,#0x10]; Load from Memory
sub_111EC4 4 00111f34 MOV             R1, #3; Rd = Op2
sub_111EC4 5 00111f40 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_111EC4 6 00111f4c MOV             R0, R3; Rd = Op2
sub_111EC4 7 00111f50 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_111EC4 8 00111f54 BL              sub_112D5C; Branch with Link
sub_111F64 0 00111f64 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_111F64 1 00112cb4 CMP             R1, #2; Set cond. codes on Op1 - Op2
sub_111F64 2 00112cc8 STR             R4, [SP,#-4]!; Store to Memory
sub_111F64 3 00112ce0 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_111F64 4 00112d14 LDR             R4, [SP],#4; Load from Memory
sub_111FDC 0 00111fdc STMFD           SP!, {R4,LR}; Store Block to Memory
sub_111FFC 0 00111ffc CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_111FFC 1 00112004 LDR             R0, [R0,#0x14]; Load from Memory
sub_111FFC 2 0011200c BX              LR; Branch to/from Thumb mode
sub_111FFC 3 001128c8 STMFD           SP!, {R3-R11,LR}; Store Block to Memory
sub_112010 0 00112010 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_112010 1 00112034 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_112010 2 00112040 STR             R6, [R4,#0x2C]; Store to Memory
sub_112010 3 00112060 MOV             R1, #0x5DC; Rd = Op2
sub_112010 4 00112070 MOV             R1, #0; Rd = Op2
sub_112010 5 00112088 MOV             R1, #0; Rd = Op2
sub_112010 6 00112094 STR             R5, [R4,#0x20]; Store to Memory
sub_112010 7 001120ac BLX             R2; Branch with Link and Exchange (register indirect)
sub_112010 8 001120b4 MOV             R2, #0xA3; Rd = Op2
sub_112010 9 001120c4 LDR             R0, [R4,#0x14]; Load from Memory
sub_112010 10 001120dc CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_112010 11 001120e8 LDR             R1, [R4,#0x24]; Load from Memory
sub_112010 12 001120f4 STR             R0, [R4,#0x24]; Store to Memory
sub_112010 13 00112110 BLX             R2; Branch with Link and Exchange (register indirect)
sub_112010 14 00112118 MOV             R2, #0xA3; Rd = Op2
sub_112010 15 00112128 LDR             R0, [R4,#0x14]; Load from Memory
sub_112010 16 00112140 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_112010 17 00112148 LDR             R0, [R4,#0x34]; Load from Memory
sub_112010 18 00112154 LDR             R0, [R0,#4]; Load from Memory
sub_112010 19 0011216c MOV             R1, #0; Rd = Op2
sub_112010 20 00112178 STR             R5, [R4,#0x2C]; Store to Memory
sub_112010 21 00112190 LDMFD           SP!, {R4-R6,LR}; Load Block from Memory
sub_112010 22 00112198 LDMFD           SP!, {R4-R6,LR}; Load Block from Memory
sub_112010 23 001121ac LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_112010 24 001130d8 LDR             R3, =word_2092E8; Load from Memory
sub_1121B0 0 001121b0 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_1121B0 1 001121d0 CMP             R0, R5; Set cond. codes on Op1 - Op2
sub_1121B0 2 001121d8 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_1121B0 3 001121e4 LDR             R6, [R4,#4]; Load from Memory
sub_1121B0 4 001121f0 LDR             R0, [R6,#0xC]; Load from Memory
sub_1121B0 5 00112210 MOV             R0, #0xFFFFFFFF
sub_1121B0 6 00112218 STRB            R5, [R4,#0x31]; Store to Memory
sub_1121B0 7 0011223c STRB            R7, [R4,#0x31]; Store to Memory
sub_1121B0 8 00112254 LDR             R0, [R4,#0x14]; Load from Memory
sub_1121B0 9 001122a4 LDR             R2, [R4,#0x18]; Load from Memory
sub_1121B0 10 001122b8 BLX             R2; Branch with Link and Exchange (register indirect)
sub_1121B0 11 001122c0 MOV             R2, #0xA3; Rd = Op2
sub_1121B0 12 001122d0 MOV             R0, #0; Rd = Op2
sub_1122D8 0 001122d8 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_1122D8 1 001122ec CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1122D8 2 00112304 MOV             R1, #0; Rd = Op2
sub_11232C 0 0011232c CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_11232C 1 00112340 ADD             R0, R1, R2,LSL#4; Rd = Op1 + Op2
sub_11232C 2 00112360 LDR             R0, =dword_206000; Load from Memory
sub_11232C 3 00112374 STR             R3, [R12,#0x1B4]; Store to Memory
sub_11232C 4 00112378 LDR             R1, [R12,#0x1B4]; Load from Memory
sub_11232C 5 00112384 LDR             R1, [R12,#0x1B8]; Load from Memory
sub_11232C 6 00112390 MOV             R1, #3; Rd = Op2
sub_11232C 7 001123a4 MOV             R0, #0; Rd = Op2
sub_1123B4 0 001123b4 STMFD           SP!, {R4-R6}; Store Block to Memory
sub_1123B4 1 001123d0 CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_1123B4 2 001123e4 CMP             R2, #1; Set cond. codes on Op1 - Op2
sub_1123B4 3 00112444 LDMFD           SP!, {R4-R6}; Load Block from Memory
sub_112454 0 00112454 LDR             R1, =dword_2058B4; Load from Memory
sub_11247C 0 0011247c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_11247C 1 0011248c MOV             R0, #0x3E8; Rd = Op2
sub_11247C 2 001124a0 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_1124A4 0 001124a4 B               sub_10F39C; Branch
sub_1124A4 1 0010f39c CMP             R0, #0xA; Set cond. codes on Op1 - Op2
sub_112518 0 00112518 LDR             R0, =0x78DB000; Load from Memory
sub_112570 0 00112570 MOV             R0, #0xA6000; Rd = Op2
sub_112584 0 00112584 MOV             R2, #0xA6000; Rd = Op2
sub_112584 1 0011259c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_112584 2 001125a8 UXTH            R0, R1; Unsigned extend halfword to word
sub_1125B0 0 001125b0 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_1125B0 1 001125c8 LDR             R7, =byte_205670; Load from Memory
sub_1125B0 2 001125f0 ADD             R0, R2, R4,LSL#3; Rd = Op1 + Op2
sub_1125B0 3 00112600 CMN             R1, #1; Set cond. codes on Op1 + Op2
sub_1125B0 4 00112618 MOV             R2, R12; Rd = Op2
sub_1125B0 5 00112664 ADD             R0, R2, R4,LSL#3; Rd = Op1 + Op2
sub_1125B0 6 00112674 CMN             R1, #1; Set cond. codes on Op1 + Op2
sub_1125B0 7 0011268c MOV             R2, R12; Rd = Op2
sub_1125B0 8 001126dc MOV             R0, #0; Rd = Op2
sub_1125B0 9 001126e8 ADD             R10, R3, R0,LSL#6; Rd = Op1 + Op2
sub_1125B0 10 00112704 ADD             R1, R1, #1; Rd = Op1 + Op2
sub_1125B0 11 00112710 MOV             R0, #0x400000; Rd = Op2
sub_1125B0 12 00112764 B               loc_112780; Branch
sub_1125B0 13 00112768 MOV             R2, #0xC4; Rd = Op2
sub_1125B0 14 00112780 LDR             R0, [R5,#0x140]; Load from Memory
sub_1125B0 15 0011278c MOV             R0, R6; Rd = Op2
sub_1127AC 0 001127ac LDR             R0, =0x78DB000; Load from Memory
sub_1127E0 0 001127e0 LDR             R0, =0x78DB000; Load from Memory
sub_1127F8 0 001127f8 MOV             R0, #0; Rd = Op2
sub_112800 0 00112800 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_112800 1 00112828 CMP             R6, R4; Set cond. codes on Op1 - Op2
sub_112800 2 00112830 LDR             R1, [R7,R4,LSL#2]; Load from Memory
sub_112800 3 0011283c CMN             R1, #1; Set cond. codes on Op1 + Op2
sub_112800 4 00112844 CMP             R8, #0; Set cond. codes on Op1 - Op2
sub_112800 5 0011284c CMP             R8, #1; Set cond. codes on Op1 - Op2
sub_112800 6 00112860 MOV             R2, #0; Rd = Op2
sub_112800 7 00112870 ADD             R4, R4, #1; Rd = Op1 + Op2
sub_112800 8 0011287c MOV             R2, R9; Rd = Op2
sub_112800 9 001128a0 MOV             R2, R0; Rd = Op2
sub_112800 10 001128b4 LDRB            R2, [R5,R4]; Load from Memory
sub_112800 11 001130d8 LDR             R3, =word_2092E8; Load from Memory
sub_1128C8 0 001128c8 STMFD           SP!, {R3-R11,LR}; Store Block to Memory
sub_1128C8 1 001128f8 LDR             R1, =byte_205670; Load from Memory
sub_1128C8 2 00112910 BLX             R1; Branch with Link and Exchange (register indirect)
sub_1128C8 3 00112918 MOV             R2, #0x273; Rd = Op2
sub_1128C8 4 00112928 TST             R4, #0x100; Set cond. codes on Op1 & Op2
sub_1128C8 5 00112930 LDR             R0, =byte_205670; Load from Memory
sub_1128C8 6 00112944 LDR             R0, [R5,#8]; Load from Memory
sub_1128C8 7 00112950 MOV             R2, #0x294; Rd = Op2
sub_1128C8 8 00112960 TST             R4, #4; Set cond. codes on Op1 & Op2
sub_1128C8 9 00112968 LDR             R0, =byte_205670; Load from Memory
sub_1128C8 10 0011297c LDR             R0, [R5,#8]; Load from Memory
sub_1128C8 11 00112988 MOV             R2, #0x294; Rd = Op2
sub_1128C8 12 00112998 TST             R4, #1; Set cond. codes on Op1 & Op2
sub_1128C8 13 001129a4 LDR             R0, =0x78DB000; Load from Memory
sub_1128C8 14 001129bc LDR             R0, =unk_206180; Load from Memory
sub_1128C8 15 001129c8 ADD             R0, R5, R4,LSL#4; Rd = Op1 + Op2
sub_1128C8 16 001129d4 ADD             R0, R7, R4,LSL#5; Rd = Op1 + Op2
sub_1128C8 17 00112a08 ADD             R0, R4, #1; Rd = Op1 + Op2
sub_1128C8 18 00112a18 ADD             R0, R5, #1; Rd = Op1 + Op2
sub_1128C8 19 00112a28 LDR             R0, [SP,#0]; Load from Memory
sub_1128C8 20 00112a3c LDR             R0, [R4,#0x1AC]; Load from Memory
sub_1128C8 21 00112a48 LDR             R5, =dword_206000; Load from Memory
sub_1128C8 22 00112a4c LDR             R0, [R4,#0x140]; Load from Memory
sub_1128C8 23 00112a74 LDR             R0, [R4,#0x140]; Load from Memory
sub_1128C8 24 00112a94 ADD             R1, R8, R8,LSL#1; Rd = Op1 + Op2
sub_1128C8 25 00112ab4 LDMFD           SP!, {R3-R11,PC}; Load Block from Memory
sub_112B00 0 00112b00 LDR             R2, =0x78DB000; Load from Memory
sub_112B24 0 00112b24 LDR             R1, =byte_205670; Load from Memory
sub_112B4C 0 00112b4c STMFD           SP!, {R4-R12,LR}; Store Block to Memory
sub_112B4C 1 00112b68 MOV             R4, #0; Rd = Op2
sub_112B4C 2 00112b70 CMP             R5, #3; Set cond. codes on Op1 - Op2
sub_112B4C 3 00112b84 ADD             R0, R5, R1,LSL#4; Rd = Op1 + Op2
sub_112B4C 4 00112b98 ADD             R1, R7, R1,LSL#6; Rd = Op1 + Op2
sub_112B4C 5 00112ba4 STR             R0, [R8,#0x1B4]; Store to Memory
sub_112B4C 6 00112ba8 LDR             R1, [R8,#0x1B4]; Load from Memory
sub_112B4C 7 00112bb4 LDR             R1, [R8,#0x1B8]; Load from Memory
sub_112B4C 8 00112bc0 STR             R10, [R2,#4]; Store to Memory
sub_112B4C 9 00112bd4 ADD             R4, R4, #1; Rd = Op1 + Op2
sub_112B4C 10 00112be0 ADD             R0, R5, #1; Rd = Op1 + Op2
sub_112B4C 11 00112bf0 MOV             R2, #0; Rd = Op2
sub_112B4C 12 00112bf8 MOV             R0, #0; Rd = Op2
sub_112B4C 13 00112c04 CMP             R2, #3; Set cond. codes on Op1 - Op2
sub_112B4C 14 00112c18 STR             R4, [R12,R1,LSL#6]; Store to Memory
sub_112B4C 15 00112c24 LDR             R5, [R3,#0x1C0]; Load from Memory
sub_112B4C 16 00112c3c ADD             R0, R0, #1; Rd = Op1 + Op2
sub_112B4C 17 00112c48 ADD             R0, R2, #1; Rd = Op1 + Op2
sub_112B4C 18 00112c58 MOV             R0, #0; Rd = Op2
sub_112C68 0 00112c68 CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_112C68 1 00112c78 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_112C68 2 00112c84 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_112C68 3 00112c90 LDR             R3, =0x78DB000; Load from Memory
sub_112C68 4 00112ca8 BX              LR; Branch to/from Thumb mode
sub_112D5C 0 00112d5c STMFD           SP!, {R4-R12,LR}; Store Block to Memory
sub_112D5C 1 00112d68 LDRB            R1, [R5,#0x10]; Load from Memory
sub_112D5C 2 00112d88 LDR             R2, =0x78DB000; Load from Memory
sub_112D5C 3 00112dac LDR             R3, =dword_206000; Load from Memory
sub_112D5C 4 00112ddc B               loc_112E08; Branch
sub_112D5C 5 00112de0 MOV             R2, #0x4BC; Rd = Op2
sub_112D5C 6 00112df4 LDMFD           SP!, {R4-R12,PC}; Load Block from Memory
sub_112D5C 7 00112df8 LDR             R0, [R2,#0x1AC]; Load from Memory
sub_112D5C 8 00112e08 CMP             R7, #0x4000; Set cond. codes on Op1 - Op2
sub_112D5C 9 00112e14 LDR             R0, =0x78DB000; Load from Memory
sub_112D5C 10 00112e28 MOV             R2, #0x20; Rd = Op2
sub_112D5C 11 00112e98 MOVS            R0, R4; Rd = Op2
sub_112D5C 12 00112ea8 MOV             R1, #1; Rd = Op2
sub_112ED0 0 00112ed0 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_112ED0 1 00112ef0 LDR             R5, [R7,#0x170]; Load from Memory
sub_112ED0 2 00112f08 MOV             R0, R4; Rd = Op2
sub_112ED0 3 00112f18 UBFX            R0, R5, #8, #8; Unsigned Bit Field Extract
sub_112F24 0 00112f24 STMFD           SP!, {R4-R12,LR}; Store Block to Memory
sub_112F24 1 00112f44 MOV             R1, #0x40000000; Rd = Op2
sub_112F24 2 00112f60 LDR             R0, =0x78DB000; Load from Memory
sub_112F24 3 00112f7c MOV             R0, R5; Rd = Op2
sub_112F24 4 00112f8c AND             R1, R9, R10; Rd = Op1 & Op2
sub_112F24 5 00112f9c LDR             R5, =0x78DB000; Load from Memory
sub_112F24 6 00112fb0 LDR             R0, [R5,#0x170]; Load from Memory
sub_112F24 7 00112fc0 CMP             R7, #0x40000000; Set cond. codes on Op1 - Op2
sub_112F24 8 00112fc8 MOV             R0, R4; Rd = Op2
sub_112F24 9 00112fd8 LDMFD           SP!, {R4-R12,PC}; Load Block from Memory
sub_112FE0 0 00112fe0 CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_112FE0 1 00112ffc LDR             R12, =dword_206000; Load from Memory
